T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
0,69,89,24,12,14,83,18,69,67
0,67,100,76,0,76,0,0,85,82
66,100,88,22,22,75,100,0,100,100
14,80,17,29,58,7,18,13,26,67
0,0,0,36,0,73,0,0,21,30
68,45,0,64,0,73,0,0,44,100
0,69,74,82,0,100,17,57,85,64
0,79,12,27,28,79,0,21,31,28
0,100,68,60,26,60,25,72,94,27
4,84,77,79,0,80,1,0,94,62
0,70,14,61,0,80,28,17,27,67
0,0,0,0,0,0,0,0,63,71
0,52,22,59,71,65,69,63,63,32
0,65,0,80,0,80,82,19,56,76
27,78,26,25,0,24,80,76,39,87
81,77,72,19,21,77,81,0,79,81
0,51,0,72,0,95,17,15,53,67
81,70,75,57,35,2,100,18,54,100
0,0,0,82,0,100,32,0,100,100
0,55,30,84,0,81,0,0,67,100
0,55,23,56,0,87,0,67,78,87
100,99,0,82,0,91,0,20,84,100
71,79,74,90,0,100,77,67,83,100
0,62,23,100,0,62,100,0,100,100
15,55,16,100,0,52,35,74,83,100
0,100,76,43,19,78,85,74,93,67
90,68,17,84,0,73,77,17,100,100
0,97,11,100,0,59,15,0,100,89
0,81,10,80,0,71,88,55,100,76
68,73,100,79,0,26,100,15,100,100
13,83,14,74,15,63,63,29,76,75
4,91,8,67,22,37,25,42,60,73
0,3,3,4,2,0,0,4,73,86
2,2,5,6,2,1,6,37,53,68
4,94,1,72,7,13,10,20,76,75
4,4,2,5,4,1,10,4,57,66
7,12,2,17,8,4,7,9,73,84
4,10,8,54,8,12,15,32,63,61
20,10,10,74,5,4,2,5,59,69
10,11,14,56,17,13,19,19,57,57
15,0,13,54,18,12,17,13,60,66
10,8,13,55,7,11,9,23,59,61
17,87,44,79,23,22,80,26,79,82
26,82,27,68,17,15,60,26,79,67
3,6,11,31,11,2,14,27,65,89
0,2,3,4,6,3,4,29,73,78
14,94,17,91,18,32,71,26,80,90
12,96,59,88,19,61,77,26,87,88
7,4,6,5,20,13,10,40,70,85
0,0,0,0,0,0,0,0,76,87
2,2,3,5,5,3,1,2,44,46
14,85,23,66,21,53,80,23,71,73
1,1,2,6,1,3,1,3,55,53
4,88,33,72,9,25,73,18,75,76
16,12,5,11,5,9,17,13,59,67
22,85,77,60,20,15,62,14,86,87
2,4,4,1,2,2,3,4,81,74
4,4,4,4,3,6,10,25,56,62
8,12,9,62,10,6,17,18,60,80
7,5,5,5,8,7,7,6,69,79
2,10,8,4,6,7,6,14,64,72
1,3,5,55,5,7,15,41,60,65
7,7,16,46,4,6,37,22,53,52
5,9,5,8,6,4,7,9,62,60
7,6,13,48,7,5,22,22,57,54
5,5,6,18,5,3,10,12,64,76
3,5,86,1,6,97,0,0,7,47
3,4,44,43,48,4,17,3,75,78
0,0,0,100,43,100,6,5,64,56
4,0,0,0,6,0,0,0,1,64
67,66,97,60,16,14,25,21,59,49
0,78,20,34,3,15,21,9,24,52
0,0,49,14,2,57,3,0,55,62
6,0,78,86,14,21,45,30,68,56
60,64,23,58,80,0,4,20,18,36
88,90,84,44,90,2,74,8,49,37
91,94,73,38,37,14,31,16,31,47
7,39,92,50,85,11,22,18,21,20
13,87,48,28,12,13,14,12,26,45
18,16,60,91,16,53,50,11,71,57
51,53,87,19,87,6,80,2,10,28
5,4,88,21,6,38,12,8,16,44
32,75,79,26,68,0,19,12,46,42
77,42,40,44,55,43,53,68,36,48
47,89,96,69,3,11,79,0,79,59
47,47,28,39,24,48,39,76,55,64
7,66,69,74,10,20,12,17,69,66
7,63,93,65,11,38,38,14,52,46
13,51,87,56,5,62,80,4,65,66
9,54,24,70,15,31,78,2,63,52
66,39,79,30,83,14,21,0,20,43
40,25,48,12,77,13,10,70,40,38
14,53,46,71,39,51,62,11,64,63
10,55,54,48,47,46,3,46,35,44
0,53,56,98,3,93,76,0,95,81
19,7,75,29,22,44,19,11,45,44
17,74,72,70,22,47,67,4,54,54
31,45,64,48,76,14,65,33,25,47
43,13,48,73,13,4,15,8,79,76
100,0,86,18,79,88,0,16,84,83
0,100,99,100,68,80,0,0,62,75
0,0,100,100,16,68,0,60,69,65
0,0,0,97,0,20,78,12,73,76
100,100,20,82,7,84,0,8,69,36
0,100,12,93,0,100,0,0,69,74
0,0,64,12,81,36,7,10,58,70
0,100,91,94,9,92,3,1,69,64
23,75,23,87,6,34,67,3,64,61
0,0,0,73,0,38,89,3,70,70
0,100,17,73,11,75,13,5,65,68
98,100,0,84,0,100,0,0,74,92
0,0,11,76,0,15,66,0,69,77
0,100,100,100,0,100,0,0,77,74
0,0,0,83,0,100,0,0,70,71
5,89,14,86,6,5,3,4,69,67
41,45,41,42,41,38,42,36,41,43
23,66,76,73,69,71,23,23,73,73
0,0,0,97,0,93,1,0,100,100
14,25,24,73,29,28,24,25,71,76
17,20,23,78,24,19,14,8,74,79
65,33,33,64,32,66,34,30,30,82
26,23,23,68,25,75,26,67,65,70
31,81,67,73,27,72,23,30,69,76
23,68,66,74,25,72,26,28,69,71
79,25,73,80,71,77,28,25,69,76
0,24,18,74,16,69,23,21,67,82
68,72,25,29,25,67,67,69,26,29
30,24,25,70,68,72,24,26,71,78
27,35,31,72,68,70,30,60,66,68
73,32,65,67,32,63,31,32,68,69
0,69,68,26,71,69,27,75,34,28
14,23,27,58,68,71,20,33,74,75
78,76,16,72,69,79,78,27,77,83
73,71,23,22,73,69,25,28,29,28
73,77,77,78,78,76,20,25,71,82
74,17,23,69,20,68,23,21,63,72
74,73,76,73,74,72,23,29,69,76
71,24,25,64,70,76,25,28,67,69
